Marital status;Application mode;Application order;Course;Daytime/evening attendance;Previous qualification;Nacionality;Mother's qualification;Father's qualification;Mother's occupation;Father's occupation;Displaced;Educational special needs;Debtor;Tuition fees up to date;Gender;Scholarship holder;Age at enrollment;International;Curricular units 1st sem (credited);Curricular units 1st sem (enrolled);Curricular units 1st sem (evaluations);Curricular units 1st sem (approved);Curricular units 1st sem (grade);Curricular units 1st sem (without evaluations);Curricular units 2nd sem (credited);Curricular units 2nd sem (enrolled);Curricular units 2nd sem (evaluations);Curricular units 2nd sem (approved);Curricular units 2nd sem (grade);Curricular units 2nd sem (without evaluations);Unemployment rate;Inflation rate;GDP;Target
1;8;1;9;1;1;1;13;14;4;4;0;0;0;1;0;0;20;0;0;5;11;3;10.333.333.333.333.300;0;0;5;10;3;10.666.666.666.666.600;0;12.4;0.5;1.79;Enrolled
1;1;2;6;1;1;1;22;28;10;8;0;0;0;1;0;0;18;0;0;5;12;5;13.142.857.142.857.100;2;0;5;6;5;11.4;0;9.4;-0.8;-3.12;Graduate
1;1;1;9;1;1;1;2;14;5;6;0;0;0;1;0;0;18;0;0;5;5;5;12.6;0;0;5;5;5;14.0;0;11.1;0.6;2.02;Graduate
1;8;1;11;1;1;1;1;1;5;6;1;0;0;1;0;0;21;0;0;6;12;3;11.0;0;0;6;12;2;11.0;0;9.4;-0.8;-3.12;Dropout
1;1;2;9;1;1;1;13;14;10;8;1;0;0;1;0;0;19;0;0;5;8;5;10.8;0;0;5;9;4;11.25;2;16.2;0.3;-0.92;Graduate
1;1;1;2;1;1;1;3;14;3;10;0;0;0;1;0;0;19;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;10.8;1.4;1.74;Dropout
1;1;1;14;1;1;1;23;28;10;10;0;0;0;1;0;1;19;0;0;5;5;5;12.8;0;0;5;5;5;14.2;0;9.4;-0.8;-3.12;Graduate
1;1;1;6;1;1;1;13;28;5;8;1;0;0;1;0;0;19;0;0;6;15;6;14.166.666.666.666.600;0;0;6;13;6;12.2;0;15.5;2.8;-4.06;Graduate
1;8;6;13;1;1;1;1;1;5;6;1;0;0;1;0;0;19;0;0;7;12;5;12.1;0;0;7;0;0;0.0;0;13.9;-0.3;0.79;Dropout
1;15;1;6;1;14;1;22;27;10;10;1;0;0;1;0;0;20;0;1;6;7;6;14.166.666.666.666.600;0;1;6;17;5;1.377.777.777.777.770;0;12.4;0.5;1.79;Graduate
1;1;1;16;1;1;1;13;28;10;4;1;0;0;1;0;1;18;0;0;6;8;5;12.8;0;0;6;7;5;13.4;0;9.4;-0.8;-3.12;Enrolled
1;8;3;10;1;1;1;1;29;6;4;1;0;0;1;0;0;18;0;0;6;7;6;13.0;0;0;6;6;6;13.666.666.666.666.600;0;12.4;0.5;1.79;Graduate
1;8;6;12;1;1;1;1;27;9;10;1;0;0;1;0;0;19;0;0;7;7;7;13.467.142.857.142.800;0;0;8;9;8;15.011.111.111.111.100;0;12.4;0.5;1.79;Graduate
1;1;3;12;1;1;1;13;14;6;9;1;0;0;1;0;1;18;0;0;7;9;7;132.375;0;0;8;9;7;13.742.857.142.857.100;0;13.9;-0.3;0.79;Dropout
1;8;2;5;1;1;1;22;27;10;10;1;0;0;1;0;0;18;0;0;6;6;6;12.333.333.333.333.300;0;0;6;6;6;13.0;0;7.6;2.6;0.32;Graduate
1;1;4;9;1;1;1;1;14;5;9;1;0;0;1;0;0;19;0;0;5;7;5;12.4;0;0;5;5;5;14.6;0;8.9;1.4;3.51;Graduate
1;8;6;12;1;1;1;1;14;4;4;1;0;0;1;0;0;19;0;0;7;8;5;14.0;0;0;7;7;0;0.0;0;13.9;-0.3;0.79;Dropout
1;14;1;10;1;1;1;23;27;10;8;0;0;0;1;0;0;20;0;5;9;15;9;11.666.666.666.666.600;0;2;7;8;7;11.714.285.714.285.700;0;7.6;2.6;0.32;Graduate
1;1;1;14;1;1;1;1;28;4;10;0;0;1;0;0;1;19;0;0;6;7;5;12.0;0;0;6;9;4;12.5;0;12.4;0.5;1.79;Dropout
1;8;1;14;1;1;1;13;14;6;6;1;0;0;1;0;0;20;0;0;5;7;4;12.2;0;0;5;5;4;11.5;0;7.6;2.6;0.32;Graduate
1;1;1;15;1;1;1;1;1;20;39;0;0;1;1;0;1;18;0;0;6;6;6;14.833.333.333.333.300;0;0;6;6;6;14.833.333.333.333.300;0;8.9;1.4;3.51;Graduate
1;1;2;12;1;1;1;13;1;5;8;0;0;0;1;0;1;20;0;0;7;9;5;13.188;0;0;8;9;7;12.892.857.142.857.100;0;11.1;0.6;2.02;Enrolled
1;9;1;12;1;1;1;13;1;5;9;0;0;0;1;0;0;18;0;0;7;8;7;17.125;0;0;8;8;8;175.875;0;13.9;-0.3;0.79;Graduate
1;1;5;12;1;1;1;22;27;10;10;1;0;0;1;0;0;19;0;0;7;7;6;12.666.666.666.666.600;0;0;7;7;6;12.666.666.666.666.600;0;7.6;2.6;0.32;Graduate
1;1;6;15;1;1;1;13;1;5;5;1;0;0;1;0;1;19;0;0;6;8;6;12.666.666.666.666.600;0;0;6;10;5;12.0;0;12.4;0.5;1.79;Graduate
1;16;1;9;1;1;1;3;1;4;4;1;0;1;0;0;0;22;0;0;5;8;0;0.0;0;0;5;7;0;0.0;0;8.9;1.4;3.51;Enrolled
1;1;3;10;1;1;1;1;10;10;11;1;0;0;1;0;1;19;0;0;6;7;6;11.333.333.333.333.300;0;0;6;6;6;11.5;0;12.4;0.5;1.79;Graduate
1;1;3;12;1;1;1;13;14;10;8;1;0;0;1;0;1;19;0;0;7;10;7;13.605;0;0;8;11;8;1.233.125;0;15.5;2.8;-4.06;Graduate
1;8;5;16;1;1;1;22;28;6;7;1;0;0;1;0;1;19;0;0;6;10;5;12.0;0;0;6;9;5;10.8;0;9.4;-0.8;-3.12;Graduate
1;1;4;11;1;1;1;10;14;10;10;1;0;0;1;0;0;19;0;0;5;10;0;0.0;0;0;5;10;0;0.0;0;7.6;2.6;0.32;Dropout
1;8;1;11;1;1;1;1;27;10;11;1;0;0;1;0;0;20;0;0;6;8;5;11.2;0;0;6;12;3;11.666.666.666.666.600;0;7.6;2.6;0.32;Dropout
1;1;1;9;1;1;1;3;14;3;11;0;0;0;1;0;0;18;0;0;5;10;5;13.375;0;0;5;9;5;14.166.666.666.666.600;0;13.9;-0.3;0.79;Graduate
